[2023-02-24T18:03:01.023] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:02.624] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:02.872] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:03.016] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:04.134] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:04.534] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:04.671] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:05.426] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:07.321] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:08.315] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:08.684] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:08.976] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:16.630] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:18.173] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:18.877] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:21.266] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:21.468] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:47.706] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:49.246] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:56.250] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:57.104] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:57.271] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:57.692] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:57.835] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:58.100] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:58.238] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:58.376] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:59.299] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:59.509] [WARN] default - /favicon.ico not found
[2023-02-24T18:04:01.743] [WARN] default - /favicon.ico not found
[2023-02-24T18:04:03.254] [WARN] default - /favicon.ico not found
[2023-02-24T18:04:19.812] [WARN] default - /favicon.ico not found
[2023-02-24T18:04:20.168] [WARN] default - /favicon.ico not found
[2023-02-24T18:04:20.519] [WARN] default - /favicon.ico not found
[2023-02-24T18:04:57.567] [WARN] default - /favicon.ico not found
[2023-02-24T18:04:58.063] [WARN] default - /favicon.ico not found
[2023-02-24T18:04:59.147] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:01.386] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:01.685] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:02.131] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:04.003] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:05.807] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:08.192] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:08.373] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:08.592] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:08.767] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:10.052] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:11.118] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:11.249] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:11.426] [WARN] default - /favicon.ico not found
[2023-02-24T18:05:12.108] [WARN] default - /favicon.ico not found
